SHOP_NAME,ADDRESS,PHONE_NUMBER,TYPE_OF_SHOP,LATITUDE,LONGITUDE
DBS 2.0(데비스미용실),서울특별시 서초구 양재동 87-9 르네상스정보기술 ,02  579 2040,일반미용업,37.4801878302991,127.042210632969
21세기 헤어칼라,서울특별시 서초구 양재동 341-6번지 1층 ,02  579 3409,일반미용업,37.4691153203315,127.044896527003
미스네일,서울특별시 동작구 사당동 1032-34번지 ,02  584 4141,일반미용업,37.4784548581385,126.980228566478
머리나라,서울특별시 동작구 사당동 321-114번지 ,02  5846077,일반미용업,37.4831243260075,126.975807996545
단심머리방,서울특별시 서초구 서초동 1481-2번지 (1층) ,02  585 3037,일반미용업,37.4827747236936,127.008766390429
지니샵,서울특별시 동작구 사당동 1147 ,02  587 6559,일반미용업,37.4869196887028,126.968370617854
닥터모락 강남점,서울특별시 서초구 서초동 1337-22 서초동대우디오빌프라임 202호,02  587 7637,일반미용업,37.4915797722064,127.029972734806
준오헤어,서울특별시 서초구 방배동 935-40번지 3층 ,02  588 0605,일반미용업,37.4864057864115,126.994116787223
제이 헤어 아틀리에,서울특별시 서초구 서초동 1511-11번지 1층 ,02  588 3389,일반미용업,37.4870711481734,127.007977662952
일리아 바이 예민,서울특별시 서초구 서초동 1601-10번지 111호,02  588 8702,일반미용업,37.485476485833,127.015045922221
진헤어룩,서울특별시 동작구 사당동 91-160 ,02  591 1828,일반미용업,37.4885575755163,126.980096775483
헤어 그린,서울특별시 서초구 방배동 1448 1층 ,02  591 3906,일반미용업,37.4872179617085,126.98365206266
참빗헤어,서울특별시 서초구 방배동 814-22번지 1층 ,02  591 5060,일반미용업,37.4919376829777,126.989830491303
작품하나,"서울특별시 동작구 사당동 105 사당우성아파트상가 3단지215호,216호,217호 ",02  592 4931,일반미용업,37.4896946254326,126.975650061703
예다움 헤어,서울특별시 서초구 우면동 765 서초 미라쉘 103호,02  592 7005,일반미용업,37.4564778867905,127.015923167836
준오헤어 교대점,서울특별시 서초구 서초동 1689-1 정우빌딩 2층 ,02  593 1605,일반미용업,37.495165831757,127.017648194017
헤어 코코,서울특별시 서초구 반포동 2-8번지 신반포상가 1층 168호,02  593 2067,일반미용업,37.5054211041961,126.994551287374
머리가(家),서울특별시 서초구 반포동 60-4번지 미도상가 1층 6-4호 ,02  593 6226,일반미용업,37.5013542148345,127.008779079669
J-에크리,서울특별시 서초구 반포동 93-7번지 5층(503호) ,02  596 5002,일반미용업,37.4995654031007,126.998445818341
김민희헤어클럽,서울특별시 동작구 사당동 161-77번지 제일미용실 ,02  596 6167,일반미용업,37.4861856060751,126.976774539096
비엠 헤어다이스 서초점,서울특별시 서초구 서초동 1337-22 107호,02  597 3531,일반미용업,37.4915797722064,127.029972734806
신승원 컷앤컷,서울특별시 서초구 서초동 1328-11 대우도씨에빛2차 지층 비109호,02  597 7879,일반미용업,37.4947838240548,127.028598036455
